"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04810","hsa04810","Regulation of actin cytoskeleton",220,0.448663295903465,1.60226833515547,7.6255870224523e-06,5.66240398050182e-05,3.65481662442283e-05,3737,"tags=37%, list=23%, signal=29%","5159/22801/3687/5155/2149/3689/10095/3684/3984/2335/9459/8817/7852/3071/5880/4478/128239/3676/2934/5156/8515/9138/89846/3681/4627/3683/22808/10092/623/624/5305/57121/5293/81624/2846/81/2254/1729/7074/10109/54776/7409/60/3695/1072/5595/3674/6387/8503/2260/3678/3672/28964/81873/7410/3679/85366/387/3688/730/10297/71/735/3693/10627/731/3827/9965/375189/733/5216/732/2147/10093/8516/54434/2252/2245/26291/93408/87"
"hsa05310","hsa05310","Asthma",27,0.704130170278511,2.03398697395398,9.47887196962894e-06,6.89192982791771e-05,4.44841798574692e-05,2883,"tags=70%, list=17%, signal=58%","2207/3115/3113/3108/6356/3123/3122/3586/959/3117/5553/3119/3111/3112/3127/3118/2206/3120/7124"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",348,0.414521984425422,1.51882746424759,1.32819679343913e-05,9.46001389612767e-05,6.1059959999135e-05,4585,"tags=40%, list=28%, signal=29%","5739/719/187/3357/728/2149/286530/134/2359/140/1901/5031/2151/135/2563/8698/10203/3356/3355/3269/6915/283869/9934/5731/2357/3001/554/1268/718/8973/5021/150/9294/623/6869/624/2859/3640/5745/1134/5367/11054/3360/5032/2846/2912/2894/5368/116/4157/57105/5026/7425/7349/53829/5724/27334/51738/2831/2901/1269/1903/1145/9002/4889/3352/3061/147/6343/2915/2914/3354/10886/6866/1241/3363/9340/2899/59350/6753/2890/8620/2893/1909/552/90226/3375/6752/2911/256933/8484/2900/5027/136/3827/51083/2561/3952/2837/799/7434/5732/2147/1906/5729/4886/2796/22953/56413/3814/56923/7432/116444/680/1907/59340/2550/2358/183/57053/133/1815/155/3953/2918/1511/4923/10874/886/5443/79957/10888/1902/551/51052/6344/4160/5644"
"hsa05320","hsa05320","Autoimmune thyroid disease",43,0.635445213232475,1.97190980468173,1.46356509824899e-05,0.000102156843857779,6.59374591632176e-05,1911,"tags=44%, list=12%, signal=39%","942/3115/3113/3108/941/3123/3122/3586/1493/959/3117/3119/3111/3112/5551/3127/940/3133/3118"
"hsa05416","hsa05416","Viral myocarditis",67,0.571182635077921,1.87875244132953,1.82041749847212e-05,0.0001245736680327,8.0406469488758e-05,3031,"tags=43%, list=18%, signal=36%","2534/3689/942/3908/3115/3113/3108/941/5880/3123/3122/959/3683/3117/3119/3111/3112/5551/3127/3383/940/3133/60/3118/3134/3120/6641/71/27"
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,-0.602205571469162,-2.3195801797124,2.86106162368141e-05,0.000192021251281695,0.000123940726208061,3805,"tags=62%, list=23%, signal=48%","51227/5277/80235/128869/2822/5281/65258/84720/93210/54872/94005/10026/80055/9488/23556/93183/5283/55650"
"hsa05332","hsa05332","Graft-versus-host disease",39,0.639577620341038,1.96412143941792,3.2253444030711e-05,0.000212385886164493,0.00013708514444036,3510,"tags=59%, list=21%, signal=47%","942/3115/3113/3108/941/3123/3122/3117/3119/3111/3112/5551/3127/940/3133/3118/3134/3553/3569/3120/7124/356/3002"
"hsa05142","hsa05142","Chagas disease",101,0.512504862228185,1.75770751153796,3.72010611583494e-05,0.000240429080449332,0.000155185713214167,3571,"tags=47%, list=22%, signal=37%","7040/714/5330/712/713/5054/6348/7048/7097/3586/718/919/10333/624/5293/414062/6349/3593/916/915/5331/54106/6347/5595/8503/917/6300/8837/6352/5521/3654/3553/3569/4792/7046/7042/7132/7124/8517/1432/3592/3827/9630/8772/356/7099/2771"
"hsa04072","hsa04072","Phospholipase D signaling pathway",142,0.474785805224617,1.66961012594798,4.15634028013579e-05,0.000263738683230435,0.000170230970325179,2510,"tags=31%, list=15%, signal=27%","5159/2207/5155/5330/2534/23533/9846/2149/196883/27128/5336/146850/1759/109/113/8877/399694/5156/554/26052/56895/22808/115/57121/8525/1607/5293/5335/2846/2912/5294/9265/5331/6464/6850/5595/2206/8503/9162/1609/2915/2914/5321/387"
"hsa05135","hsa05135","Yersinia infection",132,0.480441679183913,1.68003403700612,4.566956337523e-05,0.000284619243177773,0.000183708394028181,3124,"tags=39%, list=19%, signal=32%","2212/9844/10095/920/7454/3984/2335/3937/58484/5880/7456/3676/114548/9138/27040/7535/3586/10092/3606/9815/5293/4210/5335/7186/4772/10109/7409/834/60/6347/5595/391/8503/5585/3678/81873/6300/7410/3661/3654/3553/387/3569/4792/3688/29108/71/7124/3932/8517/1432"
