"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05130","hsa05130","Pathogenic Escherichia coli infection",190,0.40053581611564,1.42627619783298,0.00278699387104914,0.0104587189354425,0.00675061333791191,4657,"tags=42%, list=28%, signal=30%","2212/2534/2149/3059/10095/27128/4542/9181/3071/10376/7456/24146/114548/9138/4627/10092/3606/57121/283446/2846/7186/9265/10109/84617/51208/834/60/5595/578/10381/581/51807/9074/81873/6300/4793/3654/3553/387/3569/8440/4792/3688/29108/9080/7132/71/7124/7122/8517/1432/7846/8772/2147/10093/356/7099/644150/79861/10061/5601/26999/9071/10094/841/5010/3551/137075/837/5777/2597/4671/84790/1902/203068/836/1365/6188/5600"
"hsa04630","hsa04630","JAK-STAT signaling pathway",150,0.422748617136554,1.48741649928405,0.00284451536171368,0.0105610198004051,0.0068166437559544,5188,"tags=47%, list=31%, signal=32%","5159/3563/5155/1438/1441/3559/3587/3718/1439/3589/3601/5008/3594/5156/3586/50615/3976/3581/3597/6775/3595/3600/5293/3593/64109/3561/3455/3598/8651/6776/8503/9466/2057/11009/23529/3575/3569/3566/51561/3560/894/3592/9180/3716/3952/149233/9021/3565/1270/5292/7297/3953/4170/5777/2670/1437/59067/7066/3458/3456/3265/6773/116379/10401/1154/3452/3596/4609/5296/246778"
"hsa00020","hsa00020","Citrate cycle (TCA cycle)",29,-0.47633132310151,-1.83473675500364,0.00396694491883009,0.0145733029123337,0.00940638462747523,2658,"tags=41%, list=16%, signal=35%","5162/1737/55753/8801/4967/6392/47/5091/3417/3419/4190/8803"
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars",35,-0.445302776860598,-1.75678824353303,0.00410652618476326,0.0149289337341914,0.00963592767038747,1551,"tags=37%, list=9%, signal=34%","2592/140838/54187/29925/2673/3098/23483/55907/64841/4351/8790/5238/10020"
"hsa04668","hsa04668","TNF signaling pathway",117,0.435393697693028,1.5100914735338,0.0042546185406222,0.0153078543368778,0.0098805031762686,4865,"tags=50%, list=29%, signal=36%","7133/79651/197259/7412/1435/7185/4323/4318/4049/1326/3976/843/7188/4314/8809/3600/5293/3383/7186/9586/11035/6347/5595/7424/8503/6376/330/6300/8837/6352/3553/3569/1051/4792/7132/7124/9020/8517/1432/8772/1906/3627/9021/5601/841/3551/3659/1437/83786/84699/3456/64127/836/8986/3726/5600/6401/5970/6868"
"hsa00592","hsa00592","alpha-Linolenic acid metabolism",22,-0.498215470143428,-1.79379867408292,0.00436913084611313,0.0155594557683008,0.0100429001188852,3380,"tags=55%, list=20%, signal=43%","8399/8398/64600/391013/50487/8310/283748/9415/30/81579/255189/51"
"hsa00510","hsa00510","N-Glycan biosynthesis",53,-0.376268203318119,-1.59699823016584,0.00482281124228423,0.0170016275106788,0.0109737544481534,1638,"tags=30%, list=10%, signal=27%","144245/23193/6480/56052/3703/79796/79868/84920/6185/29929/57171/85365/1798/29880/7991/84061"
"hsa05221","hsa05221","Acute myeloid leukemia",66,0.484783098631961,1.59209391462993,0.00508795778782938,0.0177569726795246,0.0114612943852157,3545,"tags=39%, list=21%, signal=31%","6688/2209/3684/929/1436/5914/597/890/1848/51176/5293/11040/2322/1053/6776/5595/8503/862/8900/83439/4353/8517/861/5371/572/3815"
"hsa00533","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,0.679758544316397,1.69729020015729,0.00605534797319441,0.0209239251747015,0.013505413926666,3104,"tags=50%, list=19%, signal=41%","8534/6483/2530/93010/6482/8704/4166"
"hsa04152","hsa04152","AMPK signaling pathway",120,-0.274866070020823,-1.39939644462335,0.00618631347412163,0.0211668961026319,0.0136622402834059,2748,"tags=30%, list=17%, signal=25%","51094/6517/55012/5516/55844/31/6885/5295/51552/3667/5291/51719/1385/5210/5562/8471/8660/2475/5563/2997/23411/90993/6720/79602/10488/10891/23417/5519/5520/6319/2309/29904/148327/3480/81617/3156"
"hsa04664","hsa04664","Fc epsilon RI signaling pathway",65,0.472903735501361,1.54554506705599,0.00656552353534768,0.022246288483848,0.0143589375223751,2486,"tags=32%, list=15%, signal=28%","2207/2534/9846/695/5336/3937/241/5880/4067/27040/5293/5335/3635/6850/7409/5595/2206/8503/6300/7410/5321"
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism",29,-0.448253889856164,-1.72658787571942,0.00797306850815504,0.0267557779744818,0.0172696018294046,1005,"tags=24%, list=6%, signal=23%","125061/275/847/4190/84693/5095/39"
"hsa03015","hsa03015","mRNA surveillance pathway",92,-0.299401874435982,-1.47661289335349,0.00834751003896983,0.0277455333676235,0.0179084425898701,4375,"tags=39%, list=26%, signal=29%","23435/51585/23049/56903/23293/26019/9939/10978/642843/5976/10767/10284/53981/5528/10914/55339/55012/5516/55844/64895/11269/55916/8732/79869/8731/11051/2935/5519/5520/23708/10250/5500/645974/340529/23283/1477"
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",183,0.388560068594404,1.37961482234997,0.00854689071089467,0.0281402345103985,0.0181632036954465,5272,"tags=45%, list=32%, signal=31%","5155/23533/942/5336/2793/146850/3055/1230/59345/4067/4277/9976/285/2791/1869/718/1870/9261/57580/1234/51176/5293/5335/3383/4776/54331/131450/7186/1237/5294/4772/1233/3133/3455/6850/5595/578/8503/581/440738/6300/3661/3134/3569/4792/83439/7311/7132/1019/1827/8517/94235/1432/3716/8772/3665/808/51806/1871/5601/7316/637/841/7297/3551/1232/1437/3456/836/3265/5600/6773/5970/10681/3452/344807/4773/7187/64422/4609/5296/2787/208"
"hsa05224","hsa05224","Breast cancer",147,0.394067541714999,1.38662946482985,0.010588328071473,0.034535761653683,0.0222912169925748,3805,"tags=34%, list=23%, signal=26%","26508/4854/2324/54567/8817/4855/399694/2100/2535/23462/1869/1870/51176/5293/7480/7484/1647/23493/1857/7482/2254/6464/8600/8312/2099/5595/7472/578/8503/2260/581/7483/1855/7471/83439/4791/10297/7481/388585/1019/7474/9965/3815/8324/675/2252/672/26291/3714/1871"
"hsa00600","hsa00600","Sphingolipid metabolism",44,-0.360045974842372,-1.53320183392204,0.0110708304003682,0.035775183423412,0.0230912057083703,4084,"tags=50%, list=25%, signal=38%","6610/56624/7368/2531/55304/10825/55512/166929/3073/81537/9517/10558/6609/340485/8879/4758/427/9331/3074/259230/2581/125981"
"hsa04071","hsa04071","Sphingolipid signaling pathway",116,0.400102488610934,1.38876639158424,0.0150223409800505,0.0480990550645654,0.0310456877810798,3181,"tags=28%, list=19%, signal=23%","2207/5330/2534/4846/9846/134/140/1901/8698/8877/5880/9294/624/5526/5293/7186/5331/5595/2206/1903/8503/130367/581/6300/5521/387/5337/1509/28227/7132/7124/1432/3827"
