"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.26334444984566,8.17583778483788,17.1743731523276,6.69348434541428e-50,7.11140588172295e-46,102.701893526117,"FMNL3"
1.40962053298091,7.86779974408851,17.1665881200314,7.23034505792583e-50,7.11140588172295e-46,102.625535999461,"ARHGAP31"
1.28301140916238,9.52245144741243,16.9121740562617,8.97239354632405e-49,5.88319844832468e-45,100.133001252331,"PLXND1"
1.45599587296972,10.4560951984715,16.7415652765613,4.84093099730127e-48,2.38064884119783e-44,98.464785534728,"PDGFRB"
1.76783040601777,9.72919744355137,16.5912262731149,2.13276547494096e-47,8.39072593151273e-44,96.9971197006538,"FBN1"
1.10295056199047,8.34219618689501,16.512736843927,4.62132065224859e-47,1.5150999758397e-43,96.2317989173387,"SH2B3"
1.76862966105418,12.7170253360821,16.3797693667816,1.71006728408627e-46,4.80553336360872e-43,94.9367954001278,"COL3A1"
1.49010408588417,6.83703358322224,16.3448169536364,2.41125004934374e-46,5.92896246508009e-43,94.5967105358285,"SHROOM4"
1.46796938752638,9.6761285131665,16.3304220418815,2.77768851068803e-46,6.07110118819381e-43,94.4566891853673,"CD93"
1.55719074641067,6.48475767674182,16.306184901195,3.52460604183576e-46,6.93325254489513e-43,94.2209846296909,"PEAR1"
1.55298753913085,6.90546007979577,16.2206972696226,8.15967361073291e-46,1.45917217815206e-42,93.3901677049715,"PLEKHG1"
1.53660743164306,7.1499607111896,16.0764169447195,3.35805415692708e-45,5.50469027674271e-42,91.9899532250674,"OLFML2B"
1.24066196585499,7.85659976650307,16.0015914169886,6.98692438993875e-45,1.05722915134219e-41,91.2648006975048,"ARHGEF6"
1.48416921878393,8.94868379042607,15.972433406078,9.29387986992596e-45,1.25463363331825e-41,90.9824164405606,"EPB41L2"
1.70435137872284,9.56833289589406,15.9694714190172,9.56713156411657e-45,1.25463363331825e-41,90.9537368554813,"NID1"
1.63939021286797,7.3877412414029,15.9527121852997,1.1271400514613e-44,1.32738933140343e-41,90.7914861784391,"NID2"
1.43916944144226,10.3833918749173,15.9509128538406,1.14715157510337e-44,1.32738933140343e-41,90.7740685335475,"TGFBR2"
1.56011308816118,10.1939322905012,15.8740220319588,2.43249580537211e-44,2.65831249930415e-41,90.0301577314516,"COL5A1"
1.5901288729783,11.5693669983594,15.8649187287323,2.65874359468628e-44,2.75263922374073e-41,89.9421361109943,"COL4A1"
1.6310574498166,8.60886255221424,15.7385338391256,9.12865193351731e-44,8.75665871626768e-41,88.721257629952,"SGK269"
1.57747001980939,10.2202686261876,15.7347044725677,9.47597420838902e-44,8.75665871626768e-41,88.6843002733507,"COL15A1"
1.43026849342519,7.88066550402324,15.7313250941543,9.79342645304708e-44,8.75665871626768e-41,88.6516874702571,"FGD5"
1.18090777788865,8.74892343212656,15.7203330339078,1.0901302231695e-43,9.32345722607275e-41,88.545619284078,"ASAP1"
1.46805585123198,13.0527259832194,15.705411783249,1.26080414442801e-43,1.03338659687681e-40,88.4016634088342,"SPARC"
1.38185577696752,7.67190683681755,15.6677568232593,1.81969736326228e-43,1.43181067330929e-40,88.0385192337493,"GIMAP6"
1.20505080019985,7.34393535537249,15.6374119924475,2.44540541262574e-43,1.85013730276004e-40,87.7460209749223,"LRRC8C"
1.30751408364752,11.3622937458306,15.5923215411392,3.79285411009486e-43,2.76330493332134e-40,87.3116328378171,"MSN"
1.32741671037896,7.18603560465573,15.5200952177807,7.65640461875518e-43,5.37889768769761e-40,86.6164461615634,"GIMAP8"
1.35049073417299,8.46132458833685,15.4463762264494,1.56688763243628e-42,1.06283609026393e-39,85.9076956856344,"CDH5"
1.73197337174044,8.39173928610525,15.3988115596944,2.48609059133585e-42,1.63012960073892e-39,85.4508377774041,"ZEB2"
1.42582604587027,6.72674820899495,15.3691878395384,3.31360097722278e-42,2.10264015557901e-39,85.166479103102,"PLCG2"
1.1193485282099,9.48152584929823,15.2887327461874,7.2259738031595e-42,4.44194158381095e-39,84.3948842265295,"TCF4"
1.34470533922219,9.73684767637362,15.2128402434264,1.50618338033469e-41,8.97822220441321e-39,83.6679947257017,"ETS1"
1.55550449941555,13.1207160392803,14.9177970859883,2.59412145460458e-40,1.50085185686843e-37,80.8512403252774,"COL1A2"
1.18892631947877,8.86980516376464,14.8651376476423,4.30448290890615e-40,2.41924238003123e-37,80.3500944866754,"MMRN2"
1.19755295906185,7.74357299314156,14.8182281936166,6.75545117929028e-40,3.6912911152172e-37,79.9040900819007,"FYN"
1.39793801035431,6.70863148332816,14.7878655217915,9.04174332369512e-40,4.70031629108378e-37,79.6156223505193,"SHE"
1.47424560862875,7.30579957941944,14.7856572424727,9.23542268919022e-40,4.70031629108378e-37,79.5946486675527,"TEK"
1.091708471197,6.42223458076137,14.7847195307417,9.31891288456446e-40,4.70031629108378e-37,79.585742788125,"TTYH2"
1.42933056708134,7.97533707921221,14.7342087882015,1.51284586091876e-39,7.43979773253322e-37,79.1062592150029,"CSF1"
1.51554905593311,7.62027288371414,14.6618063799001,3.02736248408541e-39,1.4056530106257e-36,78.4197960489492,"ECM2"
1.28431059492255,6.67463826025394,14.6603491585511,3.06989538025455e-39,1.4056530106257e-36,78.4059899799233,"LZTS1"
1.81787193928982,8.18787570490307,14.6602537825214,3.07269988596945e-39,1.4056530106257e-36,78.40508637833,"LAMA2"
1.3844515174596,8.21539048770419,14.6510328990024,3.35626768291243e-39,1.50048049069478e-36,78.317735024468,"S1PR1"
1.66371449580664,8.36720971691471,14.6480604485908,3.45313260252312e-39,1.50947936498294e-36,78.289579834337,"NRP2"
1.4449657809482,12.2984670357235,14.6386238245926,3.77952348043003e-39,1.61623926920737e-36,78.2002068649054,"COL4A2"
0.845963101874247,9.48858493451086,14.6273220809314,4.21117772401142e-39,1.76251227678784e-36,78.093192020787,"ENTPD1"
1.68770551159317,3.69150543189533,14.5750054241328,6.94506369820371e-39,2.84617391682011e-36,77.598132286721,"C14orf49"
1.2176104026098,9.34977462027913,14.5491784088167,8.88897431256845e-39,3.56846966739865e-36,77.3539333239066,"DPYSL2"
1.15663315929051,8.75704389210309,14.5189004400696,1.18693025874714e-38,4.669621023963e-36,77.0678161384076,"LHFP"
1.27825298423365,9.67364850964319,14.5059853897495,1.3426557939776e-38,5.17551394966285e-36,76.9458279573108,"HEG1"
1.19790969614938,9.34118788521827,14.5040153176766,1.36813952205006e-38,5.17551394966285e-36,76.9272226822377,"CD34"
1.49115693915954,7.05392301257561,14.4769821726533,1.77070245945315e-38,6.57197888300054e-36,76.6720006308537,"IRAK3"
1.48066553813762,9.41862506699505,14.473087688119,1.83771293860432e-38,6.69437985468252e-36,76.635244480253,"LAMA4"
1.39234126419429,8.67539533319226,14.4506747037343,2.27558561363994e-38,8.02754783405988e-36,76.4237696363116,"ACSL4"
1.1951487676623,8.35211262582118,14.4502275439118,2.28530668856364e-38,8.02754783405988e-36,76.4195515411107,"TIE1"
1.36527635440117,8.36025658534345,14.4415369015359,2.48268512694375e-38,8.56787704072113e-36,76.3375799771307,"SLCO2B1"
1.16876715815368,6.60288543785143,14.362461070052,5.27195652646259e-38,1.78801132469044e-35,75.5924260894624,"CLIC2"
1.51921595567932,6.04661655934146,14.3564385205302,5.58287429642539e-38,1.86136814042345e-35,75.5357261783145,"ZNF521"
1.30807592801196,5.41267459026579,14.3458285597323,6.17578041881662e-38,2.00094739125773e-35,75.4358557558873,"LOXL3"
1.78923778070745,3.36471476706467,14.3453329731818,6.20496115432472e-38,2.00094739125773e-35,75.4311914195345,"ADAMTS12"
1.68039142681814,11.526956587701,14.3349183968329,6.85102588072949e-38,2.17365371128758e-35,75.3331837579425,"COL6A3"
1.27946328438466,8.8509604803743,14.2489280501563,1.55080760312251e-37,4.77947693683493e-35,74.5248228989627,"PTPRB"
1.45233585576742,7.96999905772224,14.2479347900157,1.56549706820975e-37,4.77947693683493e-35,74.5154947134335,"GAS7"
1.36286560367043,6.64412882837241,14.2470092683059,1.57930964818398e-37,4.77947693683493e-35,74.506802879701,"RHOJ"
1.53157961561724,5.75465698423249,14.2238161975001,1.9680866546683e-37,5.86579281575457e-35,74.2890494311695,"RASGRF2"
1.31474768554062,7.73377687649403,14.221902149234,2.00414740039877e-37,5.88411694227525e-35,74.2710840462002,"LDB2"
1.31695825143071,8.93590512408617,14.2119569781117,2.20239933511765e-37,6.37108784133813e-35,74.1777505451268,"WIPF1"
0.994093615956762,8.18384294901113,14.1880552074261,2.76258392734599e-37,7.87576643982942e-35,73.9535233317683,"RASA3"
1.38827079072971,7.06931895348593,14.1863088779974,2.80869253243588e-37,7.89282725793517e-35,73.9371454617716,"FLT4"
1.62882185037097,8.99179811507216,14.1595145448487,3.62048519431114e-37,1.00307836982105e-34,73.6859381754129,"COL5A2"
