"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.8070871012747,12.766332162907,15.3247865969868,5.09587149867952e-42,1.00240888250525e-37,84.545988526946,"COL1A1"
1.12685048514821,10.8141524720385,14.6766549102718,2.62611662724701e-39,2.5829170087288e-35,78.4046689816401,"ENG"
1.58671164925296,9.00436402794898,14.3979570514293,3.76038207709507e-38,2.46568252795124e-34,75.7870685586759,"THY1"
1.56868960195534,12.0866800217257,14.0525956439133,9.95591302024716e-37,4.89606912553205e-33,72.564972819507,"BGN"
1.49003087751684,12.7170253360821,13.4130699106044,3.99890891749365e-34,1.57325074632035e-30,66.6685954209442,"COL3A1"
1.28252918473816,13.0527259832194,13.336321223931,8.15651382637428e-34,2.59252338621058e-30,65.9676299525093,"SPARC"
1.37687235033003,7.25650923663495,13.3230431297082,9.22559285418842e-34,2.59252338621058e-30,65.8465104283376,"ADAMTSL2"
1.27471259826561,7.1499607111896,12.9628546549591,2.55975347415285e-32,6.29411382375758e-29,62.5787208406466,"OLFML2B"
1.38759983980764,13.1207160392803,12.9347996579956,3.31101111171795e-32,7.23676661984486e-29,62.3256736465732,"COL1A2"
1.77176357324748,6.22197226490817,12.7960557307439,1.17827298098642e-31,2.31778078089839e-28,61.0775107480802,"ADAMTS2"
1.50513158829616,8.99179811507216,12.7177794512192,2.40548889215016e-31,4.30167018158962e-28,60.3757611031993,"COL5A2"
1.1235055000067,10.4560951984715,12.5566318413719,1.03951731292804e-30,1.63073623110904e-27,58.9367456470771,"PDGFRB"
1.02874158682443,9.17547842195292,12.5526484831414,1.07770682753381e-30,1.63073623110904e-27,58.9012734803085,"TGFB1"
1.23837395559559,9.05340968744271,12.5336518965506,1.27996054796124e-30,1.79843599563897e-27,58.7321732736037,"GGT5"
0.974053551814695,9.52245144741243,12.4799773521874,2.07964615778438e-30,2.72724797131844e-27,58.2549772446906,"PLXND1"
0.977274029700726,6.35513667815735,12.4014076026611,4.22526772089649e-30,5.19470258360968e-27,57.5580470298213,"ADAP2"
1.18382538114523,8.97385447170715,12.3905175157487,4.6607900121334e-30,5.39308237227507e-27,57.4616008970785,"STAB1"
