SAMPLE_ID	mutations
PCA0190	prad_mskcc_sequenom
PCA0193	prad_mskcc_sequenom
PCA0194	prad_mskcc_sequenom_sanger
PCA0197	prad_mskcc_sequenom
PCA0198	prad_mskcc_sequenom
PCA0199	prad_mskcc_sequenom
PCA0200	prad_mskcc_sequenom
PCA0201	prad_mskcc_sequenom
PCA0202	prad_mskcc_sequenom
PCA0203	prad_mskcc_sequenom
PCA0204	prad_mskcc_sequenom_sanger
PCA0205	prad_mskcc_sequenom
PCA0206	prad_mskcc_sequenom
PCA0207	prad_mskcc_sequenom
PCA0208	prad_mskcc_sequenom_sanger
PCA0209	prad_mskcc_sequenom_sanger
PCA0210	prad_mskcc_sequenom_sanger
PCA0211	prad_mskcc_sequenom_sanger
PCA0212	prad_mskcc_sequenom_sanger
PCA0213	prad_mskcc_sequenom_sanger
PCA0215	prad_mskcc_sequenom_sanger
PCA0216	prad_mskcc_sequenom_sanger
PCA0217	prad_mskcc_sequenom_sanger
PCA0218	prad_mskcc_sequenom_sanger
